epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8326,1.20472,1.62075,1.03558,0.91256,0.85187,0.89851,0.56546,1.15322,0.88762,1.0011,0.000664962,0.000664962,0.000664962
2,158.77,1.16423,0.86961,1.01754,0.88749,0.87608,0.90945,0.5982,1.11963,0.72546,1.00156,0.00126571,0.00126571,0.00126571
3,228.214,1.15336,0.77266,1.01471,0.92877,0.89659,0.93371,0.62379,1.04546,0.65396,0.96229,0.00180046,0.00180046,0.00180046
4,297.351,1.10421,0.69851,1.00077,0.9232,0.88645,0.92672,0.64963,0.9893,0.61393,0.96884,0.001703,0.001703,0.001703
5,365.805,1.0607,0.6731,0.98754,0.936,0.90483,0.94506,0.66437,0.96745,0.57835,0.95262,0.001604,0.001604,0.001604
6,434.606,1.01794,0.62099,0.97192,0.92458,0.90464,0.93667,0.66229,0.93108,0.5635,0.93943,0.001505,0.001505,0.001505
7,503.361,1.00053,0.60565,0.96221,0.93454,0.90699,0.94902,0.69377,0.88737,0.53452,0.93741,0.001406,0.001406,0.001406
8,572.076,0.96743,0.58161,0.95123,0.93056,0.91227,0.95321,0.70198,0.889,0.51529,0.92743,0.001307,0.001307,0.001307
9,640.821,0.9556,0.56231,0.94835,0.93532,0.91897,0.95922,0.72203,0.83605,0.49482,0.91614,0.001208,0.001208,0.001208
10,709.743,0.94621,0.54809,0.95274,0.93641,0.92126,0.95817,0.70477,0.87,0.49556,0.92128,0.001109,0.001109,0.001109
11,778.347,0.9132,0.53038,0.94373,0.93545,0.91842,0.95774,0.71582,0.85757,0.48602,0.93052,0.00101,0.00101,0.00101
12,846.886,0.89276,0.50868,0.94269,0.94294,0.91374,0.96206,0.7179,0.86554,0.48142,0.92707,0.000911,0.000911,0.000911
13,914.891,0.88622,0.4973,0.93879,0.94818,0.92288,0.96408,0.72833,0.83419,0.47829,0.91647,0.000812,0.000812,0.000812
14,983.346,0.85043,0.48621,0.92722,0.95032,0.91727,0.96512,0.73254,0.8118,0.45267,0.91569,0.000713,0.000713,0.000713
15,1051.59,0.84337,0.46955,0.92272,0.94124,0.92703,0.96645,0.73857,0.81765,0.45168,0.90534,0.000614,0.000614,0.000614
16,1119.96,0.83646,0.45185,0.92306,0.94802,0.91539,0.96523,0.74301,0.79584,0.43423,0.9063,0.000515,0.000515,0.000515
17,1188.35,0.81791,0.44027,0.91292,0.94459,0.9303,0.96828,0.75097,0.77546,0.42176,0.90085,0.000416,0.000416,0.000416
18,1256.73,0.80315,0.42862,0.91059,0.94948,0.93055,0.97149,0.76,0.75552,0.41557,0.89237,0.000317,0.000317,0.000317
19,1325.08,0.78508,0.41595,0.90508,0.95122,0.93251,0.97188,0.76301,0.75399,0.40056,0.89246,0.000218,0.000218,0.000218
20,1393.77,0.77011,0.40471,0.89797,0.94717,0.93675,0.97332,0.77177,0.73166,0.38826,0.88881,0.000119,0.000119,0.000119
